Names,BioSample,AvgSpotLen,Bases,Bytes,Collection_Date,env_local_scale,env_medium,Experiment,Host_Diet,Host,Library Name,create_date,Sample Name,replicate,Region,Location,Sex,Sample_or_Control
SRR21492522,SAMN30732741,273,21702331,10395010,9/25/15,Midgut,fish gut,SRX17495904,Faunivorous Corallivore,Centropyge flavissima,Centropyge_flavissima_Midgut_CF122,2022-09-11T21:57:00Z,CF_122_IV,,Oceania,Christmas Island,,Sample
SRR21492528,SAMN30732740,273,30688594,14226015,9/25/15,Midgut,fish gut,SRX17495898,Faunivorous Corallivore,Centropyge flavissima,Centropyge_flavissima_Midgut_CF120,2022-09-11T21:57:00Z,CF_120_IV,,Oceania,Christmas Island,,Sample
SRR21492539,SAMN30732739,273,23414240,12130325,9/25/15,Midgut,fish gut,SRX17495887,Faunivorous Corallivore,Centropyge flavissima,Centropyge_flavissima_Midgut_CF110,2022-09-11T21:58:00Z,CF_110_IV,,Oceania,Christmas Island,,Sample
SRR21492541,SAMN30732755,273,31469468,16923496,9/25/15,Hindgut,fish gut,SRX17495885,Faunivorous Corallivore,Centropyge flavissima,Centropyge_flavissima_Hindgut_125,2022-09-11T21:58:00Z,CF_125_V,,Oceania,Christmas Island,,Sample
SRR21492542,SAMN30732754,272,34946567,17199268,9/25/15,Hindgut,fish gut,SRX17495884,Faunivorous Corallivore,Centropyge flavissima,Centropyge_flavissima_Hindgut_112,2022-09-11T22:09:00Z,CF_112_V,,Oceania,Christmas Island,,Sample
SRR21492543,SAMN30732753,272,36450948,18463535,9/25/15,Hindgut,fish gut,SRX17495883,Faunivorous Corallivore,Centropyge flavissima,Centropyge_flavissima_Hindgut_108,2022-09-11T22:30:00Z,CF_108_V,,Oceania,Christmas Island,,Sample
SRR21492544,SAMN30732752,272,26090567,12977978,9/25/15,Hindgut,fish gut,SRX17495882,Faunivorous Corallivore,Centropyge flavissima,Centropyge_flavissima_Hindgut_105,2022-09-11T22:15:00Z,CF_105_V,,Oceania,Christmas Island,,Sample
SRR21492545,SAMN30732751,272,31143523,15142995,9/25/15,Hindgut,fish gut,SRX17495881,Faunivorous Corallivore,Centropyge flavissima,Centropyge_flavissima_Hindgut_104,2022-09-11T21:59:00Z,CF_104_V,,Oceania,Christmas Island,,Sample
SRR21492546,SAMN30732750,272,31603895,15707757,9/25/15,Hindgut,fish gut,SRX17495880,Faunivorous Corallivore,Centropyge flavissima,Centropyge_flavissima_Hindgut_124,2022-09-11T21:58:00Z,CF_124_V,,Oceania,Christmas Island,,Sample
SRR21492547,SAMN30732749,272,28261497,14802702,9/25/15,Hindgut,fish gut,SRX17495879,Faunivorous Corallivore,Centropyge flavissima,Centropyge_flavissima_Hindgut_123,2022-09-11T21:56:00Z,CF_123_V,,Oceania,Christmas Island,,Sample
SRR21492548,SAMN30732748,273,29527158,15449525,9/25/15,Hindgut,fish gut,SRX17495878,Faunivorous Corallivore,Centropyge flavissima,Centropyge_flavissima_Hindgut_122,2022-09-11T22:15:00Z,CF_122_V,,Oceania,Christmas Island,,Sample
SRR21492549,SAMN30732747,273,32809977,16495853,9/25/15,Hindgut,fish gut,SRX17495877,Faunivorous Corallivore,Centropyge flavissima,Centropyge_flavissima_Hindgut_120,2022-09-11T21:58:00Z,CF_120_V,,Oceania,Christmas Island,,Sample
SRR21492550,SAMN30732738,273,21599163,12025980,9/25/15,Midgut,fish gut,SRX17495876,Faunivorous Corallivore,Centropyge flavissima,Centropyge_flavissima_Midgut_CF107,2022-09-11T21:56:00Z,CF_CF107_IV,,Oceania,Christmas Island,,Sample
SRR21492551,SAMN30732737,273,17528519,9850002,9/25/15,Midgut,fish gut,SRX17495875,Faunivorous Corallivore,Centropyge flavissima,Centropyge_flavissima_Midgut_CF102,2022-09-11T22:02:00Z,CF_CF102_IV,,Oceania,Christmas Island,,Sample
SRR21492523,SAMN30732771,272,27541403,13824169,9/25/15,Hindgut,fish gut,SRX17495903,Faunivorous Corallivore,Centropyge spp. hybrid,Hyrbid_Hindgut_95,2022-09-11T21:56:00Z,Hybrid_95_V,,Oceania,Christmas Island,,Sample
SRR21492524,SAMN30732770,272,24222278,12084438,9/25/15,Hindgut,fish gut,SRX17495902,Faunivorous Corallivore,Centropyge spp. hybrid,Hyrbid_Hindgut_89,2022-09-11T21:56:00Z,Hybrid_89_V,,Oceania,Christmas Island,,Sample
SRR21492525,SAMN30732769,272,36917594,17763817,9/25/15,Hindgut,fish gut,SRX17495901,Faunivorous Corallivore,Centropyge spp. hybrid,Hyrbid_Hindgut_83,2022-09-11T21:59:00Z,Hybrid_83_V,,Oceania,Christmas Island,,Sample
SRR21492526,SAMN30732768,273,22987542,12262098,9/25/15,Hindgut,fish gut,SRX17495900,Faunivorous Corallivore,Centropyge spp. hybrid,Hyrbid_Hindgut_68,2022-09-11T21:58:00Z,Hybrid_68_V,,Oceania,Christmas Island,,Sample
SRR21492527,SAMN30732767,272,31169622,15383254,9/25/15,Hindgut,fish gut,SRX17495899,Faunivorous Corallivore,Centropyge spp. hybrid,Hyrbid_Hindgut_67,2022-09-11T21:57:00Z,Hybrid_67_V,,Oceania,Christmas Island,,Sample
SRR21492529,SAMN30732766,273,25283070,13332186,9/25/15,Hindgut,fish gut,SRX17495897,Faunivorous Corallivore,Centropyge spp. hybrid,Hyrbid_Hindgut_37,2022-09-11T22:16:00Z,Hybrid_37_V,,Oceania,Christmas Island,,Sample
SRR21492530,SAMN30732765,273,34455826,18065087,9/25/15,Hindgut,fish gut,SRX17495896,Faunivorous Corallivore,Centropyge spp. hybrid,Hyrbid_Hindgut_28,2022-09-11T21:56:00Z,Hybrid_28_V,,Oceania,Christmas Island,,Sample
SRR21492531,SAMN30732764,273,24594881,14286737,9/25/15,Hindgut,fish gut,SRX17495895,Faunivorous Corallivore,Centropyge spp. hybrid,Hyrbid_Hindgut_24,2022-09-11T21:56:00Z,Hybrid_24_V,,Oceania,Christmas Island,,Sample
SRR21492532,SAMN30732763,273,26356203,15189246,9/25/15,Hindgut,fish gut,SRX17495894,Faunivorous Corallivore,Centropyge spp. hybrid,Hyrbid_Hindgut_9,2022-09-11T21:57:00Z,Hybrid_9_V,,Oceania,Christmas Island,,Sample
SRR17060816,SAMN23482393,599,171331313,125901790,2017-12,Hindgut,lumen content from sample G184V,SRX13249752,Herbivorus - mainly red seaweed,Kyphosus cinerascens,G184V,2021-11-29T02:10:00Z,G184_V,,Oceania,Australia,,Sample
SRR17060817,SAMN23482392,600,406754678,283858428,2017-12,Midgut,lumen content from sample G184IV,SRX13249751,Herbivorus - mainly red seaweed,Kyphosus cinerascens,G184IV,2021-11-29T02:10:00Z,G184_IV,,Oceania,Australia,,Sample
SRR17060818,SAMN23482391,601,355428998,253656769,2017-12,Midgut,lumen content from sample G179IV,SRX13249750,Herbivorus - mainly red seaweed,Kyphosus cinerascens,G179IV,2021-11-29T02:10:00Z,G179_IV,,Oceania,Australia,,Sample
SRR17060819,SAMN23482390,600,227727082,166958760,2017-12,Hindgut,lumen content from sample G161V,SRX13249749,Herbivorus - mainly red seaweed,Kyphosus cinerascens,G161V,2021-11-29T02:10:00Z,G161_V,,Oceania,Australia,,Sample
SRR17060820,SAMN23482389,601,342767858,242758457,2017-12,Midgut,lumen content from sample G161IV,SRX13249748,Herbivorus - mainly red seaweed,Kyphosus cinerascens,G161IV,2021-11-29T02:10:00Z,G161_IV,,Oceania,Australia,,Sample
